gene,logFC,P.Value
285955 /// 441273 /// 442590 /// 729597 /// 100310812,0.519423333,0.004032627
2275,-0.571306667,0.004035839
257415 /// 728066,1.132936667,0.00404357
1592,-2.090126667,0.004059626
65993,-0.474775,0.004059653
84708,0.908933333,0.004064608
1978,-0.804955,0.004068765
3628,1.233261667,0.004070455
811,-0.815166667,0.004081501
6366,2.076558333,0.004085318
79001,-1.084643333,0.004086089
55076,-2.020791667,0.004094925
552,1.548793333,0.004099687
8989,-1.228773333,0.004123018
145270,1.727913333,0.004126059
6888,-0.78104,0.004129677
100505851,1.683703333,0.004139932
552900 /// 654483,-1.031405,0.004162332
10114,0.481455,0.004162911
8880,0.817711667,0.004172839
199800,1.338456667,0.004192941
8864,1.294206667,0.004207037
55700,-1.056151667,0.004208376
11337,-0.5872,0.004240394
9189,-1.197765,0.004249212
163486,-0.908701667,0.004256082
26471,-0.97005,0.004260592
25758,-1.21107,0.004276707
126003,-1.205878333,0.004279274
79840 /// 151295,0.964463333,0.004292445
388272,-0.693555,0.004303443
2015,-1.362501667,0.004312395
124583,-0.839011667,0.004315408
25798,-1.031406667,0.004341182
256158,0.775181667,0.004343684
51529,-1.07638,0.004372286
8997,0.964108333,0.00438155
1457,-0.774715,0.00440271
55959,-1.255893333,0.004415763
84262,-0.808181667,0.004416811
55716,0.583511667,0.004451582
160428,-1.835881667,0.004451646
100505495,1.164926667,0.00446557
411,-1.080505,0.004481642
84034,1.004753333,0.004495942
10488,-1.066993333,0.004500304
1289,-1.534973333,0.004506238
56034,-1.889465,0.004515275
114818,1.436265,0.004533207
114569,-1.623728333,0.00453969
467,2.272986667,0.004561767
126668,1.261675,0.004574597
10589,-0.691471667,0.004594584
140687,1.193445,0.004608636
54985,-1.30396,0.004612715
5507,-2.062295,0.004618246
5099,-2.346435,0.0046365
91653,1.468371667,0.004640768
4649,0.671181667,0.004641807
79365,-1.222816667,0.004641899
51277,0.95566,0.004642416
7837,-1.056343333,0.004644261
23368,0.864303333,0.00465576
4637,-0.618496667,0.004666916
51239,-0.827198333,0.004678993
23263,1.451038333,0.004696377
122970,-0.982793333,0.004697094
9797,-0.519028333,0.004719447
2745,-0.910245,0.004720295
23371,0.915551667,0.004730411
80723,1.466213333,0.004747306
2876,-1.161623333,0.004757155
53405,1.583008333,0.004776765
